mq2,mq3,mq4,mq6,mq7,mq8,mq9,mq135,presence
191,275,395,441,517,482,572,560,0
191,275,395,441,516,482,572,560,0
191,275,395,441,516,482,571,559,0
191,275,395,441,516,482,572,560,0
191,276,395,441,516,482,572,560,0
191,275,395,441,516,482,572,560,0
191,275,395,441,517,482,572,560,0
191,275,395,441,516,482,572,560,0
191,275,395,441,516,482,571,559,0
191,275,395,441,516,482,572,559,0
191,275,395,441,516,482,571,559,0
191,275,395,441,516,482,572,560,0
191,275,395,441,516,482,572,560,0
191,275,395,441,516,482,571,560,0
191,275,396,441,516,481,572,559,0
190,275,395,441,516,481,571,559,0
190,275,394,441,516,482,571,559,0
191,275,395,440,516,482,571,559,0
191,275,395,441,516,481,571,559,0
190,275,395,441,516,481,571,559,0
191,275,395,440,516,481,571,559,0
190,275,395,440,516,482,571,559,0
190,275,395,440,516,481,571,559,0
190,275,395,440,516,482,571,559,0
190,275,395,440,516,481,571,559,0
190,275,395,441,516,482,571,559,0
190,275,395,441,515,481,571,559,0
190,275,395,441,516,482,571,559,0
190,275,395,440,516,482,571,559,0
190,275,395,441,516,481,571,559,0
190,275,394,441,516,481,571,559,0
190,275,395,440,515,482,571,559,0
190,275,395,440,515,481,571,559,0
190,275,395,440,515,481,571,559,0
190,275,395,441,515,481,571,559,0
189,275,395,440,515,482,571,558,0
190,275,395,440,515,481,571,559,0
190,275,394,440,516,481,571,559,0
190,274,395,440,515,481,571,558,0
190,275,395,440,515,481,570,558,0
190,274,394,440,515,482,571,558,0
189,275,394,440,516,481,571,558,0
190,275,394,440,515,481,570,558,0
189,275,394,440,515,481,570,558,0
189,275,394,440,515,481,570,558,0
189,275,394,440,515,481,570,558,0
189,275,394,440,515,481,570,558,0
189,275,394,440,515,481,571,558,0
189,275,394,440,515,481,570,558,0
189,274,395,440,515,481,570,558,0
189,275,395,440,515,481,570,558,0
189,275,395,440,515,481,570,558,0
189,275,394,440,515,481,570,558,0
188,275,394,440,515,481,570,558,0
189,275,394,440,515,481,570,557,0
189,275,394,440,514,481,569,557,0
188,274,394,439,515,481,570,558,0
188,274,394,440,515,481,570,558,0
188,275,394,440,515,481,570,557,0
189,275,395,440,515,481,570,557,0
188,275,394,440,515,481,570,557,0
188,274,394,439,515,481,570,558,0
189,274,394,439,514,481,570,557,0
188,274,394,440,515,481,570,557,0
188,275,394,439,514,481,570,557,0
189,275,394,439,515,481,570,557,0
188,275,394,439,515,481,570,557,0
188,275,394,439,514,481,570,557,0
188,275,394,439,515,481,570,557,0
188,274,394,439,514,481,570,557,0
188,274,394,439,514,481,569,557,0
188,274,394,439,515,481,569,557,0
188,274,394,439,515,481,569,557,0
188,274,394,439,514,481,569,557,0
188,274,394,439,514,481,570,557,0
188,274,394,439,514,481,569,557,0
188,274,394,439,514,481,569,557,0
188,275,393,439,514,481,570,557,0
188,274,394,439,514,480,569,556,0
