counter,mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135
390,386,385,384,382,378,377,378,377,378
391,385,384,382,378,371,370,372,372,376
392,386,387,388,386,385,379,378,375,377
393,386,385,385,383,379,377,378,377,378
394,385,384,382,378,372,371,372,372,376
395,386,387,388,386,385,379,378,375,377
396,386,385,385,383,379,378,379,377,379
397,386,385,382,378,371,371,372,372,376
398,387,387,388,386,385,379,378,376,377
399,387,386,385,383,380,378,379,377,379
400,386,385,382,379,372,371,373,373,377
401,387,387,388,386,385,379,378,375,377
402,386,386,386,383,380,378,379,377,379
403,385,384,382,378,371,371,373,372,376
404,387,387,388,386,385,379,378,375,377
405,386,386,386,384,381,379,379,377,379
406,386,384,382,378,372,371,373,373,377
407,387,387,388,386,384,379,378,375,377
408,386,386,386,384,381,379,379,377,379
409,386,385,382,379,372,371,373,373,377
410,387,387,388,386,384,379,377,375,377
411,387,386,386,384,382,379,379,377,379
412,386,385,382,379,372,371,373,373,377
413,387,387,388,386,384,378,377,375,377
414,386,386,386,384,382,379,380,378,379
415,386,385,382,379,372,371,373,373,377
416,386,387,387,385,384,378,377,375,377
417,386,386,386,384,382,380,380,378,379
418,386,385,382,379,372,371,373,373,377
419,387,387,387,385,383,378,377,374,377
420,386,386,387,385,383,380,380,378,379
421,385,384,382,378,372,372,374,373,377
422,386,386,387,385,383,378,377,375,377
423,387,386,386,384,382,379,380,377,378
424,386,385,382,379,372,372,373,373,377
425,386,386,387,385,383,378,377,374,377
426,386,386,386,385,383,380,380,378,379
427,386,385,382,379,372,372,374,373,377
428,386,386,387,385,383,377,376,374,376
429,386,386,387,385,383,380,380,378,378
430,385,384,382,379,372,372,374,374,377
431,386,386,387,384,382,377,376,374,377
432,387,386,387,385,383,380,380,378,379
433,386,385,382,379,373,373,374,374,377
434,386,386,387,384,382,377,376,374,377
435,387,386,387,385,384,380,380,378,379
436,386,385,382,379,373,372,374,374,377
437,386,386,386,384,382,377,376,374,377
438,387,386,387,385,384,380,380,378,379
439,386,385,382,379,373,373,374,374,377
440,386,386,386,384,382,377,376,374,377
441,387,387,388,386,384,381,381,378,379
442,386,385,382,379,373,373,375,374,378
443,386,386,386,384,381,376,376,374,377
444,387,387,388,386,385,381,380,378,379
445,386,385,382,379,373,373,374,374,377
446,386,386,386,384,381,376,376,374,376
447,387,387,388,386,385,381,381,378,379
448,386,384,382,379,373,373,375,374,377
449,386,386,386,384,381,376,376,374,377
450,387,387,388,387,386,382,382,379,379
451,386,385,383,380,374,374,376,376,378
452,388,388,388,386,384,379,379,377,378
453,389,389,391,390,390,387,386,383,382
454,389,387,385,382,376,377,379,379,381
455,389,388,388,385,381,377,376,375,379
456,389,388,389,387,385,381,380,378,379
457,386,385,383,379,373,372,374,374,377
458,385,385,384,381,377,373,372,371,375
459,385,385,386,384,382,377,377,374,376
460,383,382,379,376,368,368,370,370,374
461,383,384,383,380,376,372,371,370,373
462,384,384,385,383,382,378,377,375,376
463,383,382,380,377,370,370,372,372,375
464,385,385,385,383,381,377,376,374,376
465,386,386,388,387,387,383,382,379,379
466,386,385,383,380,375,375,377,377,379
467,387,386,385,383,379,375,375,374,377
468,388,387,388,387,386,381,380,378,379
469,386,385,383,380,374,374,375,375,378
470,386,386,385,382,378,375,375,373,376
471,387,387,389,387,387,382,381,378,379
472,386,385,383,380,374,374,376,376,378
473,387,386,386,383,379,376,376,374,377
474,387,387,389,387,387,382,381,379,379
475,386,385,383,380,374,374,376,375,378
476,386,386,385,382,378,375,375,373,377
477,387,387,389,387,386,382,381,378,379
478,386,385,383,380,374,374,376,375,378
479,386,386,385,382,378,375,375,374,377
480,387,387,388,387,386,381,380,378,378
481,386,385,383,380,374,374,376,375,378
482,386,385,384,381,377,374,374,373,376
483,386,386,387,385,385,380,379,377,378
484,386,384,382,379,373,373,375,374,377
485,386,385,384,381,377,373,374,373,376
486,387,387,388,386,386,381,380,377,378
487,386,385,383,380,374,374,376,375,378
488,386,385,384,381,376,373,374,373,376
489,386,386,388,386,385,381,380,377,378
490,386,385,383,380,374,374,376,375,378
491,386,386,384,381,376,374,374,373,376
492,387,387,388,386,386,381,380,377,378
493,386,385,383,380,375,374,376,375,378
494,386,385,384,381,376,374,374,373,376
495,387,387,389,387,386,381,380,378,378
496,386,385,383,380,375,375,376,376,378
497,386,385,384,381,375,373,373,373,376
498,387,387,388,386,386,380,379,377,378
499,386,385,383,380,375,375,376,375,378
500,386,385,383,380,375,373,373,373,376
